"clip_name","window_file","violation","uncertain","fps","total_frames","notes"
"2015-04-25_-_16-30_Dortmund_2_-_0_Eintracht_Frankfurt_H1_001435s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-04-25_-_16-30_Dortmund_2_-_0_Eintracht_Frankfurt_H1_001435s_KICK.mp4","","1","25.000000","99",""
"2015-05-02_-_21-00_Sevilla_2_-_3_Real_Madrid_H1_002783s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-05-02_-_21-00_Sevilla_2_-_3_Real_Madrid_H1_002783s_KICK.mp4","","1","25.000000","99",""
"2015-05-09_-_21-00_Real_Madrid_2_-_2_Valencia_H1_002768s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-05-09_-_21-00_Real_Madrid_2_-_2_Valencia_H1_002768s_KICK.mp4","","1","25.000000","99",""
"2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s_KICK.mp4","","1","25.000000","99",""
"2015-08-22_-_16-30_Hoffenheim_1_-_2_Bayern_Munich_H2_001696s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-08-22_-_16-30_Hoffenheim_1_-_2_Bayern_Munich_H2_001696s_KICK.mp4","","1","25.000000","99",""
"2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s_KICK.mp4","","1","25.000000","99",""
"2015-09-26_-_17-00_Barcelona_2_-_1_Las_Palmas_H2_001257s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-09-26_-_17-00_Barcelona_2_-_1_Las_Palmas_H2_001257s_KICK.mp4","","1","25.000000","99",""
"2015-10-04_-_21-30_Atl_Madrid_1_-_1_Real_Madrid_H1_001306s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-10-04_-_21-30_Atl_Madrid_1_-_1_Real_Madrid_H1_001306s_KICK.mp4","","1","25.000000","99",""
"2015-10-24_-_16-30_Bayern_Munich_4_-_0_FC_Koln_H2_001905s_KICK.mp4","data/clips/kick_windows_720p_v2/2015-10-24_-_16-30_Bayern_Munich_4_-_0_FC_Koln_H2_001905s_KICK.mp4","","1","25.000000","99",""
"2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H2_001266s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H2_001266s_KICK.mp4","","1","25.000000","99",""
"2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s_KICK.mp4","","1","25.000000","99",""
"2015-12-20_-_18-00_Real_Madrid_1_-_0_Rayo_Vallecano_H1_001763s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2015-12-20_-_18-00_Real_Madrid_1_-_0_Rayo_Vallecano_H1_001763s_KICK.mp4","","1","25.000000","99",""
"2016-02-21_-_18-00_Malaga_1_-_1_Real_Madrid_H1_002120s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2016-02-21_-_18-00_Malaga_1_-_1_Real_Madrid_H1_002120s_KICK.mp4","","1","25.000000","99",""
"2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H1_000249s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H1_000249s_KICK.mp4","","1","25.000000","99",""
"2017-01-15_-_17-00_Udinese_0_-_1_AS_Roma_H1_001048s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2017-01-15_-_17-00_Udinese_0_-_1_AS_Roma_H1_001048s_KICK.mp4","","1","25.000000","99",""
"2017-02-12_-_14-30_Crotone_0_-_2_AS_Roma_H1_001003s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2017-02-12_-_14-30_Crotone_0_-_2_AS_Roma_H1_001003s_KICK.mp4","","1","25.000000","99",""
"2017-03-19_-_22-45_Barcelona_4_-_2_Valencia_H1_002669s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2017-03-19_-_22-45_Barcelona_4_-_2_Valencia_H1_002669s_KICK.mp4","","1","25.000000","99",""
"2017-04-29_-_17-15_Real_Madrid_2_-_1_Valencia_H2_000663s_KICK.mp4","C:/Users/user/Documents/GitHub/penalty-keeper-detection/data/clips/kick_windows_720p_v2/2017-04-29_-_17-15_Real_Madrid_2_-_1_Valencia_H2_000663s_KICK.mp4","","1","25.000000","99",""
